X1,X2,Y
49,89,0
15,40,0
41,39,1
45,40,1
89,11,0
23,61,1
46,18,0
41,96,0
81,85,0
38,37,1
91,16,0
1,56,0
72,83,0
63,43,1
84,99,0
96,45,0
21,38,1
47,36,1
74,4,0
97,52,0
91,46,0
36,74,1
30,10,0
72,51,1
39,66,1
7,98,0
14,56,0
47,22,1
97,76,0
21,3,0
27,57,1
4,37,0
100,31,0
61,83,0
38,23,1
22,89,0
20,22,0
81,22,0
58,61,1
92,68,0
52,2,0
4,41,0
23,34,1
94,0,0
31,59,1
36,63,1
43,89,0
87,80,0
61,28,1
88,48,0
63,26,0
31,14,1
66,97,0
71,90,0
35,13,1
21,77,1
25,62,1
54,8,0
23,20,1
75,63,0
47,81,1
58,92,0
51,28,0
79,82,0
14,3,1
28,79,1
6,94,1
16,16,1
95,57,0
25,92,1
44,47,1
36,3,1
64,69,0
86,89,0
57,74,0
21,86,1
40,5,1
100,34,0
59,22,0
29,81,1
82,52,0
23,13,1
20,18,1
44,35,1
85,27,0
89,52,0
78,43,0
90,83,0
32,95,1
65,89,0
96,24,0
89,78,0
94,52,0
73,19,0
47,50,1
60,64,0
68,21,0
35,16,1
84,20,0
32,13,1
